Sr No,Date,Startup,vertical,SubVertical,City,Investor,Round,Amount,Remarks,Investors Name 
32,2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8250.0,,Vijay Shekhar Sharma
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,371.25,,Lightbox
34,2019-10-02,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4826.25,,"Altimeter Capital, DST Global"
35,2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,,Ayushmann Khurana
36,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.125,,"Matrix Partners India, Sequoia India"
37,2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.225,,SAIF Partners
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,49.5,,TIW Private Equity
39,2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,41.25,,Exfinity Venture Partners
40,2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,148.5,,Breakthrough Energy Ventures
41,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,8.25,,Endiya Partners
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,82.5,,A91 Partners
43,2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3712.5,,Bennett Coleman and Company Ltd (BCCL)
44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.25,,"India Quotient, Axilor Ventures"
45,2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,165.0,,SC GG India Mobility Holdings LLC
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,41.25,,Sequoia India
48,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1155.0,,"Azim Premji, Binny Bansal"
49,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,314.16,,Pine Labs Pte Ltd
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1031.25,,Naspers
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,90.75,,MS Dhoni
52,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,420.75,,March Capital Partners
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,305.25,,XL Innovate
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.125,,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)"
55,2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,907.5,,RPS Ventures
56,2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,123.75,,Tiger Global Management
57,2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,54.3675,,One97 Communications Ltd.
58,2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.25,,Growth DNA
59,2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,,Vir Sanghvi
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,577.5,,Softbank Vision Fund
61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,32175.0,,Westbridge Capital
62,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,156.75,,"Lok Capital, IIFL Wealth"
63,2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20.625,,WaterBridge Ventures
64,2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.19625,,Kapil Dev
65,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25,,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury"
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,314.16,,March Capital Partners
67,2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.125,,Artha Venture
68,2019-07-10,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1237.5,,Qatar Investment Authority
69,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,495.0,,"Composite Capital Management, Sequoia Capital India, Tiger Global Management"
70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,132.0,,Undisclosed
71,2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.4375,,Ventureast
72,2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.625,,Blume Ventures
73,2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.25,,Binny Bansal
74,2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.63674125,,Multiple Angel Investors
75,2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,420.75,,General Atlantic
76,2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,82.5,,Anicut Capital
78,2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,74.25,,Matrix Partners
79,2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,618.75,,Insight Partners
80,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,214.5,,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh"
81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,20.625,,Blume Ventures and RTP Global
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,214.5,,IAN Fund
85,2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,3.54915,,Nexus Venture Partners
86,2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,127.875,,Tiger Global Management
87,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,429.0,,WestBridge Capital
88,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,29.568,,Alteria Capital
89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,28.05,,Mumbai Angels
91,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,7.16595,,C4D Partners
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1237.5,,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,"
94,2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,412.5,,Tiger Global Management
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,420.75,,Sachin Bansal
96,2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1155.0,,Equanimity Ventures
97,2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,94.875,,"Korea Investment Partners, Vertex Ventures"
98,2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,46.2,,Sixth Sense Ventures
99,2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,371.25,,Eight Roads
100,2019-04-12,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,140.25,,Prasid Uno Family Trust
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.55298625,,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,"
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.62884375,,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV"
103,2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,1.65,,Unnamed angel investors
104,2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,28.875,,Lightspeed India Partners
105,2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,52.146765,,Milestone
106,2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.15883375,,Supera Pte Ltd
107,2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.53275,,Kalyan Krishnamurthy
108,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,214.5,,"Sequoia India, Tiger Global Management, Accel Partners"
109,2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24.75,,Sixth Sense Ventures
111,2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,41.25,,New Atlantic Ventures
112,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,24.75,,"021 Capita, Binny Bansal"
113,2019-02-01,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0,,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1864.5,,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina"
115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.95,,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments"
116,2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,825.0,,DiDi Chuxing
117,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,907.5,,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank"
118,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,181.5,,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital"
119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,41.25,,"MASSIF, a Dutch government fund"
120,2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,5.775,,Stellaris Venture Partners
121,2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,412.5,,Steadview Capital and Vy Capital.
122,2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.6,,Individual Investors
123,2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4.719,,Individual Investors
124,2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.17975,,Omphalos Ventures India LLP
125,2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,16.5,,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate."
126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,28.875,,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors"
127,2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,1.14670875,,Lead Angels Network
128,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,229.34175,,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai"
129,2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,412.5,,"Shunwei Capital, DST Partners and RPS Ventures"
130,2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4.125,,Undisclosed
131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.25,,"RB Investments, Singapore"
132,2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,8.25,,Tiger Global
133,2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,10.725,,Mayfield Fund
134,2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,8.25,,Stevens Creek Ventures
135,2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,4.125,,Venture Catalysts
136,2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2475.0,,SoftBank Vision Fund
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),49.5,,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital."
138,2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,2.2935,,Individual investors
139,2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,255.75,,Teachers Insurance and Annuity Association (TIAA)
140,2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,0.0,,Individual investors
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.05,,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India"
142,2018-11-24,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,243.375,,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore."
143,2018-11-25,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,346.5,,"Paragon Partners, Individual Investors"
144,2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,14.025,,Bertelsmann India Investments
146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,90.75,,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund"
147,2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,67.65,,Ravi Viswanathan
148,2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,24.75,,ZigExN
149,2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,33.0,,Credence Family Office
150,2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,121.11,,Sequoia Capital India
151,2018-10-12,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,99.0,,Fosun International
152,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,288.75,,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment"
153,2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,1856.25,,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.
154,2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,52.7175,,Falcon Edge
157,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,1296.9,,Lighthouse
159,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,825.0,,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management"
160,2018-09-10,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,33.0,,Stellaris Ventures & Others
161,2018-09-11,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,264.0,,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska"
162,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,45.375,,InnoVen Capital
163,2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,41.25,,"Shunwei Capital,Quotient, Mayfield & Others"
164,2018-09-12,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,247.5,,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n"
165,2018-08-01,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,3.3,,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners"
167,2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,57.75,,Xiaomi and Sequoia Capital India
168,2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,0.99,,Y Combinator
170,2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,288.75,,Fung Strategic Holdings
171,2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,82.5,,MakeMyTrip Limited
172,2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,33.0,,Vertex Ventures
173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,100.65,,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan"
174,2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,544.5,,Flipkart
175,2018-08-09,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,24.75,,"Nexus Venture Partners, Prime Venture Partners and Others"
176,2018-08-09,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,8.25,,AJ Ventures and Jain International Trade Organisation (JITO)
177,2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,33.0,,"Ventureast, Orios Venture Partners and the IAN Fund"
178,2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,66.0,,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator"
180,2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,48.2625,,Denlow Investment Trust and Beenext
182,2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,39.6,,Alteria Capital
183,2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,49.5,,CDC Group plc\\xc2\\xa0
